Brand,Name,Model,Core,RAM,SSD,Discounted Price,Actual Price,Saving,Rating,Reviews
ASUS,ASUS TUF F16 FX608JMR 14650HX,TUF F16 FX608JMR 14650HX,CORE I7,32GB,1TB SSD,444999.0,475000.0,6,0.0,0.0
Lenovo,LENOVO THINKBOOK 16 G7,THINKBOOK 16 G7,RYZEN 5,16GB,512GB SSD,167999.0,200000.0,16,0.0,0.0
Lenovo,LENOVO LEGION 5 16IAX10 CORE ULTRA 9275HX,LEGION 5 16IAX10 CORE ULTRA 9275HX,ULTRA 9,32GB,1TB SSD,493999.0,550000.0,10,0.0,0.0
HP,HP 15FD0647TU,15FD0647TU,CORE I5,8GB,512GB SSD,145999.0,200000.0,27,0.0,0.0
HP,HP OMNIBOOK ULTRA FLIP 14FH0033DX ULTRA 9288V,OMNIBOOK ULTRA FLIP 14FH0033DX ULTRA 9288V,ULTRA 9,32GB,2TB SSD,504999.0,545000.0,7,0.0,0.0
HP,HP LAPTOP EQ2180AU AMD,LAPTOP EQ2180AU AMD,RYZEN 5,8GB,512GB SSD,194999.0,219999.0,11,0.0,0.0
Lenovo,LENOVO THINKPAD E15 G4 BACKLIT KEYBOARD,THINKPAD E15 G4 BACKLIT KEYBOARD,CORE I7,8GB,512GB SSD,242999.0,299999.0,19,0.0,0.0
HP,HP PROBOOK 450 G9 LOCAL,PROBOOK 450 G9 LOCAL,CORE I7,8GB,512GB SSD,194999.0,299999.0,35,5.0,1.0
HP,HP PAVILION X360 14 EK1055TU WIN 11 HOME,PAVILION X360 14 EK1055TU WIN 11 HOME,CORE I5,8GB,512GB SSD,199999.0,299999.0,33,0.0,0.0
HP,HP PAVILION 15 EG3002TX WIN 11,PAVILION 15 EG3002TX WIN 11,CORE I5,8GB,512GB SSD,258999.0,324999.0,20,0.0,0.0
HP,HP ENVY 16 H1008TX WIN 11,ENVY 16 H1008TX WIN 11,CORE I5,16GB,512GB SSD,409999.0,449999.0,9,0.0,0.0
Apple,APPLE MACBOOK PRO MRX33 PRO 14 BLACK,MACBOOK PRO MRX33 PRO 14 BLACK,M3,18GB,512GB SSD,554999.0,600000.0,8,0.0,0.0
Apple,APPLE MACBOOK AIR 13.6” MLY43 8512GB,MACBOOK AIR 13.6” MLY43 8512GB,M2,8GB,512GB SSD,354999.0,400000.0,11,0.0,0.0
Lenovo,LENOVO THINKBOOK16,THINKBOOK16,CORE I5,8GB,512GB SSD,161599.0,225000.0,28,0.0,0.0
HP,HP SPECTRE 14EU0008NI ULTRA 7 OLED PLUS HP PEN,SPECTRE 14EU0008NI ULTRA 7 OLED PLUS HP PEN,ULTRA 7,16GB,1TB SSD,464999.0,480000.0,3,0.0,0.0
HP,HP PROBOOK 440 G10,PROBOOK 440 G10,CORE I5,8GB,512GB SSD,187999.0,200000.0,6,0.0,0.0
HP,HP ENVY 14ES1013DX CORE 5 120U X360 TOUCH,ENVY 14ES1013DX CORE 5 120U X360 TOUCH,Unknown,8GB,512GB SSD,169999.0,200000.0,15,5.0,1.0
Lenovo,LENOVO THINKPAD E14 G5 1355U,THINKPAD E14 G5 1355U,CORE I7,8GB,512GB SSD,285999.0,310000.0,8,0.0,0.0
HP,HP SPECTRE 2IN1 X360 16F2013DX,SPECTRE 2IN1 X360 16F2013DX,CORE I7,Unknown,Unknown,346999.0,380000.0,9,0.0,0.0
Dell,DELL VOSTRO 15 3530 1334U,VOSTRO 15 3530 1334U,CORE I5,Unknown,Unknown,142999.0,180000.0,21,5.0,1.0
Lenovo,LENOVO THINKPAD E16 GEN 2,THINKPAD E16 GEN 2,ULTRA 5,8GB,512GB SSD,243999.0,275000.0,11,0.0,0.0
Lenovo,LENOVO THINKPAD T14,THINKPAD T14,CORE I7,Unknown,Unknown,388999.0,400000.0,3,0.0,0.0
HP,HP PROBOOK 440 G11 ULTRA 7 155U,PROBOOK 440 G11 ULTRA 7 155U,ULTRA 7,Unknown,Unknown,227999.0,275000.0,17,0.0,0.0
Infinix,INFINIX INBOOK Y3H PLUS 12450H,INBOOK Y3H PLUS,CORE I5,16GB,512GB SSD,159999.0,169999.0,6,0.0,0.0
HP,HP VICTUS 15FB3093DX,VICTUS 15FB3093DX,RYZEN 7,16GB,512GB SSD,244999.0,288999.0,15,0.0,0.0
HP,HP OMNIBOOK 14 FP0023DX CORE 7 150U,OMNIBOOK 14 FP0023DX CORE 7 150U,Unknown,16GB,512GB SSD,217999.0,255000.0,15,0.0,0.0
Lenovo,LENOVO IDEAPAD SLIM 5 ULTRA 5 125H,IDEAPAD SLIM 5 ULTRA 5 125H,ULTRA 5,16GB,512GB SSD,199999.0,224999.0,11,0.0,0.0
